,link,text,time
0,https://www.instagram.com/p/Bfnjxv2lgY-/,"No Paw Intended

#mrtcat #catsofbgc",2018-02-25 11:32:29
1,https://www.instagram.com/p/BfnZ8GzjlT4/,#catsofbgc #survivors #highstreet,2018-02-25 10:06:31
2,https://www.instagram.com/p/Bfm0h_WAMzG/,NOPE! NEVER AGAIN. These businesses are associated with Pet Busters. 🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️👎🏽👎🏽👎🏽 #BoycottCatKillers #CatsofBGC #ShangBGCCats,2018-02-25 04:39:38
3,https://www.instagram.com/p/Bfljx6QhAY5/,"Met one of the #catsofBGC tonight. Hello, fluffy kittyyyy. 😻",2018-02-24 16:54:02
4,https://www.instagram.com/p/BflMXCzHnir/,"So playful, this one 😊 #catsofbgc 🐈",2018-02-24 13:29:23
5,https://www.instagram.com/p/BflJnRZFoxt/,Look at this lazy cat. Too bad she's gone like the rest of the other cats @ the Shangri-La Fort area.,2018-02-24 15:11:14
6,https://www.instagram.com/p/Bfky96Ilrgf/,Caught it just as it was fading away. A rainbow for the missing Cats of BGC 😭🌈💜 #catsofbgc #puspin,2018-02-24 10:00:31
7,https://www.instagram.com/p/BfkrgQhlcIL/,Florence is going home! She actually fattened up a bit while she was at the vet! Time to give her a bath 💗💕 #catsofbgc #adoptdontshop #puspin #rescue #rescuedismyfavoritebreed,2018-02-24 08:42:16
8,https://www.instagram.com/p/Bfkds9oh2hS/,One Lazy Afternoon #catsofbgc,2018-02-24 06:41:41
9,https://www.instagram.com/p/BfkYp8-BKVx/,A screeshot of my Line convo with my brother who usually takes up a room at a Shang hotel when he goes on a business trip here.  @shangrilafort  #catsofbgc #justiceforcatsofbgc #catsofinstagram #cats #adoptdontshop #puspin #puspinlove #catcareph #rescuedismyfavoritebreed #catsofworld #neko #kawaiineko #ねこ #かわいい #かわいいねこ #しろねこ #フィリピン #catsofmanila #instacats #catoftheday #にゃん  #cat #kittensofinstagram #rescuecatsofinstagram #rescuecat #catsofworld,2018-02-24 05:57:35
10,https://www.instagram.com/p/BfkTpj4hFCq/,"Tala: Meow!
Cat: You the mom? Can I pet her?

Haha! 😂🐱 #catsofbgc #TalaSabelle",2018-02-24 05:13:50
11,https://www.instagram.com/p/BfkSlxYHWfp/,"‪Update on #FindingCatsOfBGC:‬
‪ #CatsOfBGC‬

Feb 23, 2018 ‪- PestBusters official announcement ‬",2018-02-24 05:07:10
12,https://www.instagram.com/p/BfkDUfqhkNm/,"Steve and I try to make it a habit to bring cat food whenever we would go out and walk around BGC. 
I saw these two while having breakfast in McDonalds Forbestown. Thankfully I had cat food with me. And they were so grateful that they let me pet them ❤

Little things matter. Little acts of kindness go a long way. 
#caturday #CatsOfBGC #cats",2018-02-24 03:18:06
13,https://www.instagram.com/p/Bfj7JcdhGiQ/,"University cat is #UPCat. Please adopt me, Mr. Cat.
.
Also, kudos to the UPD folks who take care of this super-affectionate and healthy kitty. We should take better care of strays, unlike those greedy monsters who trashed the #catsofbgc.
.
.
.
.
.
.
.
#straycats #adoptdontshop #catsofinstagram #catsofupdiliman",2018-02-24 01:50:31
14,https://www.instagram.com/p/Bfj4lt_Fjld/,"Because I wasn’t there last night, but I was in spirit. #catsofbgc #latergram",2018-02-24 01:17:22
15,https://www.instagram.com/p/BfjxYYyl9KF/,Lies. All lies. #wherearethecats #catsofbgc #catsofmanila #tnr #thereisareasonforthatr #itmeansreturn #returnthecats,2018-02-24 00:14:23
16,https://www.instagram.com/p/BfjrLhxH0dd/,"At BGC High Street last night
#SilentProtest
#CatsOfBGC",2018-02-23 23:20:12
17,https://www.instagram.com/p/BfjRwcVhyOD/,"This has been an emotionally-charged week for the cat-loving community of Manila.  The saddest part is, what happened to the #catsofbgc happens everywhere, and all the time. The week may have ended - but at the silent gathering of kindred spirits, we hope it also means a the beginning of some positive change.  Bringing justice to these cats is not just that - it's really about fighting for all who are voiceless and unwanted in this world.

#catlivesmatter #alllivesmatter #wheninmanilapets #wimpets #catcareph #shareaseat #adoptdontshop #beautybeyondbreed #neuteriscuter #tribute #inmemoriam #rescuecats #tnr #communitycats",2018-02-24 02:05:02
