"","time","count"
"1","2015-05-30",1
"2","2015-10-12",1
"3","2015-11-12",1
"4","2015-11-14",1
"5","2015-12-09",1
"6","2016-01-09",1
"7","2016-02-28",1
"8","2016-02-29",1
"9","2016-03-18",1
"10","2016-03-23",1
"11","2016-05-03",10
"12","2016-05-08",1
"13","2016-05-09",1
"14","2016-05-26",1
"15","2016-06-05",1
"16","2016-06-11",2
"17","2016-07-19",1
"18","2016-07-22",1
"19","2016-08-04",9
"20","2016-08-05",3
"21","2016-08-08",1
"22","2016-08-09",1
"23","2016-08-12",1
"24","2016-08-13",1
"25","2016-08-15",1
"26","2016-08-18",2
"27","2016-08-19",1
"28","2016-08-20",2
"29","2016-08-21",1
"30","2016-08-24",3
"31","2016-08-31",1
"32","2016-09-01",1
"33","2016-09-03",1
"34","2016-09-05",1
"35","2016-09-16",1
"36","2016-09-20",1
"37","2016-09-22",1
"38","2016-09-27",1
"39","2016-09-30",2
"40","2016-10-04",1
"41","2016-10-07",1
"42","2016-10-20",2
"43","2016-11-01",1
"44","2016-11-03",1
"45","2016-11-04",1
"46","2016-11-07",1
"47","2016-11-14",1
"48","2016-11-16",1
"49","2016-11-24",2
"50","2016-11-28",1
"51","2016-12-02",1
"52","2016-12-07",1
"53","2016-12-12",1
"54","2016-12-16",1
"55","2016-12-19",1
"56","2016-12-22",1
"57","2016-12-27",1
"58","2017-01-25",1
"59","2017-02-02",1
"60","2017-02-03",2
"61","2017-02-04",1
"62","2017-02-06",1
"63","2017-02-07",1
"64","2017-02-08",2
"65","2017-02-14",3
"66","2017-02-19",1
"67","2017-02-20",1
"68","2017-02-24",2
"69","2017-02-26",1
"70","2017-03-01",1
"71","2017-03-02",2
"72","2017-03-04",2
"73","2017-03-07",1
"74","2017-03-11",1
"75","2017-03-15",1
"76","2017-03-18",1
"77","2017-03-23",1
"78","2017-03-28",2
"79","2017-03-31",1
"80","2017-04-01",1
"81","2017-04-02",2
"82","2017-04-05",2
"83","2017-04-07",3
"84","2017-04-08",3
"85","2017-04-10",1
"86","2017-04-17",1
"87","2017-04-22",1
"88","2017-04-27",8
"89","2017-04-28",1
"90","2017-05-02",2
"91","2017-05-05",1
"92","2017-05-06",1
"93","2017-05-07",1
"94","2017-05-08",3
"95","2017-05-13",2
"96","2017-05-15",1
"97","2017-05-16",2
"98","2017-05-17",1
"99","2017-05-19",1
"100","2017-05-21",1
"101","2017-05-24",1
"102","2017-05-25",1
"103","2017-05-27",1
"104","2017-05-28",1
"105","2017-05-29",3
"106","2017-05-31",3
"107","2017-06-01",1
"108","2017-06-02",4
"109","2017-06-09",2
"110","2017-06-13",2
"111","2017-06-14",1
"112","2017-06-17",3
"113","2017-06-20",4
"114","2017-06-21",1
"115","2017-06-22",1
"116","2017-06-23",1
"117","2017-06-26",1
"118","2017-07-01",1
"119","2017-07-06",1
"120","2017-07-07",3
"121","2017-07-10",1
"122","2017-07-13",1
"123","2017-07-16",1
"124","2017-07-23",1
"125","2017-08-02",1
"126","2017-08-03",1
"127","2017-08-09",2
"128","2017-08-14",1
"129","2017-08-18",1
"130","2017-08-19",1
"131","2017-08-24",1
"132","2017-08-25",3
"133","2017-08-26",1
"134","2017-08-28",26
"135","2017-08-30",1
"136","2017-08-31",1
"137","2017-09-03",1
"138","2017-09-04",2
"139","2017-09-05",3
"140","2017-09-08",1
"141","2017-09-09",1
"142","2017-09-10",2
"143","2017-09-13",1
"144","2017-09-14",2
"145","2017-09-15",2
"146","2017-09-17",2
"147","2017-09-19",1
"148","2017-09-21",1
"149","2017-09-22",2
"150","2017-09-24",1
"151","2017-09-26",1
"152","2017-09-28",1
"153","2017-09-29",2
"154","2017-10-01",1
"155","2017-10-02",1
"156","2017-10-03",2
"157","2017-10-04",1
"158","2017-10-07",2
"159","2017-10-08",11
"160","2017-10-10",1
"161","2017-10-14",4
"162","2017-10-15",1
"163","2017-10-16",1
"164","2017-10-17",2
"165","2017-10-18",2
"166","2017-10-19",1
"167","2017-10-21",3
"168","2017-10-22",2
"169","2017-10-25",1
"170","2017-10-26",1
"171","2017-10-28",1
"172","2017-10-30",2
"173","2017-10-31",2
"174","2017-11-01",1
"175","2017-11-02",3
"176","2017-11-03",2
"177","2017-11-05",1
"178","2017-11-07",4
"179","2017-11-09",1
"180","2017-11-11",2
"181","2017-11-12",1
"182","2017-11-13",1
"183","2017-11-15",2
"184","2017-11-16",2
"185","2017-11-17",2
"186","2017-11-18",2
"187","2017-11-19",2
"188","2017-11-20",1
"189","2017-11-21",1
"190","2017-11-22",2
"191","2017-11-23",3
"192","2017-11-24",1
"193","2017-11-25",1
"194","2017-11-26",14
"195","2017-11-28",1
"196","2017-11-29",1
"197","2017-11-30",1
"198","2017-12-02",3
"199","2017-12-03",1
"200","2017-12-04",3
"201","2017-12-05",1
"202","2017-12-06",3
"203","2017-12-07",1
"204","2017-12-08",5
"205","2017-12-10",4
"206","2017-12-11",1
"207","2017-12-15",2
"208","2017-12-16",6
"209","2017-12-17",1
"210","2017-12-18",1
"211","2017-12-19",2
"212","2017-12-21",1
"213","2017-12-22",2
"214","2017-12-23",4
"215","2017-12-24",2
"216","2017-12-25",4
"217","2017-12-27",1
"218","2017-12-28",5
"219","2017-12-30",2
"220","2018-01-01",4
"221","2018-01-02",2
"222","2018-01-03",3
"223","2018-01-04",3
"224","2018-01-06",1
"225","2018-01-07",1
"226","2018-01-09",2
"227","2018-01-10",3
"228","2018-01-12",4
"229","2018-01-13",2
"230","2018-01-14",3
"231","2018-01-15",1
"232","2018-01-16",2
"233","2018-01-17",2
"234","2018-01-18",1
"235","2018-01-19",1
"236","2018-01-20",6
"237","2018-01-21",2
"238","2018-01-22",1
"239","2018-01-23",4
"240","2018-01-24",6
"241","2018-01-25",4
"242","2018-01-26",4
"243","2018-01-27",5
"244","2018-01-28",2
"245","2018-01-29",1
"246","2018-01-30",1
"247","2018-01-31",3
"248","2018-02-01",4
"249","2018-02-02",1
"250","2018-02-03",2
"251","2018-02-04",3
"252","2018-02-05",1
"253","2018-02-06",1
"254","2018-02-07",2
"255","2018-02-09",3
"256","2018-02-11",4
"257","2018-02-12",2
"258","2018-02-13",2
"259","2018-02-15",1
"260","2018-02-16",1
"261","2018-02-17",5
"262","2018-02-18",14
"263","2018-02-19",63
"264","2018-02-20",98
"265","2018-02-21",141
"266","2018-02-22",75
"267","2018-02-23",64
"268","2018-02-24",33
"269","2018-02-25",14
"270","2018-02-26",14
"271","2018-02-27",6
"272","2018-02-28",14
"273","2018-03-01",9
"274","2018-03-02",3
